year,id,pref_jp,pref_en,a_len,pop,im_rate,em_rate,did,treat,income,cult,college,jcollege,spec,hedu,gexp,start,gap,pre11,pre10,pre9,pre8,pre7,pre6,pre5,pre4,pre3,pre2,pre1,current,post1,post2,post3,post4,post5,post6,post7,post8,post9
2012,21,岐 阜 県,Gifu-ken,234.6,206,1.29,1.48,0,0,2687,8139,0.58,0.53,1.8,2.91,759.3,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,22,静 岡 県,Shizuoka-ken,210.5,374,1.39,1.5,0,0,3195,9917,0.37,0.13,2.6,3.1,665.9,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,23,愛 知 県,Aichi-ken,178.1,743,1.49,1.39,0,0,3437,9318.3,0.69,0.31,2.37,3.37,652.5,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,24,三 重 県,Mie-ken,175.2,184,1.51,1.62,0,0,2932,11670.3,0.43,0.16,2.23,2.82,756.5,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,25,滋 賀 県,Shiga-ken,161.4,142,1.87,1.78,0,0,3116,14770.8,0.57,0.28,1.91,2.76,714.9,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,26,京 都 府,Kyoto-fu,55.1,263,2.05,2.07,0,0,2949,8927.1,1.26,0.57,2.44,4.27,814.2,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,27,大 阪 府,Osaka-fu,114.8,886,1.75,1.69,0,0,2939,5197.3,0.63,0.34,2.66,3.63,747.5,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,28,兵 庫 県,Hyogo-ken,267.5,557,1.63,1.65,0,0,2637,7968.7,0.75,0.31,1.69,2.75,786.9,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,29,奈 良 県,Nara-ken,18.2,139,1.77,1.97,0,0,2393,7842.3,0.79,0.36,2.95,4.1,729.1,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2012,30,和歌山県,Wakayama-ken,59.6,99,1.19,1.43,0,0,2738,10266.6,0.3,0.1,2.23,2.63,1068.2,,2012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
